Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
158,The Mummy,409231607,80227895,329003712,2017.csv,2017.0,0.196045206742792,0.803954793257208
159,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016.0,0.15679465180981703,0.843205348190183
160,Sing 2,408402685,162790990,245611695,2021.csv,2021.0,0.3986041129969554,0.6013958870030446
161,Fantastic Beasts: The Secrets of Dumbledore,407150844,95850844,311300000,2022.csv,2022.0,0.23541850744634585,0.7645814925536542
162,Uncharted,407141258,148648820,258492438,2022.csv,2022.0,0.36510379893751765,0.6348962010624823
163,Sonic the Hedgehog 2,405421518,190872904,214548614,2022.csv,2022.0,0.4708011181587061,0.5291988818412939
164,Alita: Battle Angel,404980543,85838210,319142333,2019.csv,2019.0,0.21195638033405473,0.7880436196659453
165,Eternals,402064899,164870234,237194665,2021.csv,2021.0,0.41005876019035425,0.5899412398096457
166,Dune,402027830,108327830,293700000,2021.csv,2021.0,0.26945355996872156,0.7305464400312784
167,Meg 2: The Trench,397700317,82600317,315100000,2023.csv,2023.0,0.2076948734240008,0.7923051265759992
168,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018.0,0.3053703369967449,0.6946296630032551
169,Black Adam,393452111,168152111,225300000,2022.csv,2022.0,0.427376309082759,0.572623690917241
170,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018.0,0.5440417815106289,0.4559582184893712
171,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016.0,0.26468839516514925,0.7353116048348508
172,Godzilla: King of the Monsters,387300138,110500138,276800000,2019.csv,2019.0,0.28530880100022066,0.7146911989997793
173,Monster Hunt,387053506,32766,387020740,2015.csv,2015.0,8.465496240718718e-05,0.9999153450375928
174,Home,386041607,177397510,208644097,2015.csv,2015.0,0.45952950869360565,0.5404704913063944
175,1917,384579982,159227644,225352338,2019.csv,2019.0,0.41402998453518053,0.5859700154648195
176,Indiana Jones and the Dial of Destiny,383963057,174480468,209482589,2023.csv,2023.0,0.4544199365513438,0.5455800634486562
177,Cars 3,383930656,152901115,231029541,2017.csv,2017.0,0.3982519046356121,0.6017480953643879
178,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017.0,0.3003079477898444,0.6996920522101556
179,Black Widow,379751655,183651655,196100000,2021.csv,2021.0,0.4836098870984512,0.5163901129015488
180,Mad Max: Fury Road,379436354,153636354,225800000,2015.csv,2015.0,0.4049067844458573,0.5950932155541427
181,Once Upon a Time... in Hollywood,377426903,142502728,234924175,2019.csv,2019.0,0.3775637795485925,0.6224362204514076
182,Spider-Man: Into the Spider-Verse,375582637,190241310,185341327,2018.csv,2018.0,0.5065231756174075,0.49347682438259255
183,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014.0,0.22449104210289508,0.775508957897105
184,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018.0,0.26992420431298125,0.7300757956870187
185,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014.0,0.2704321162013873,0.7295678837986127
186,Gone Girl,369330363,167767189,201563174,2014.csv,2014.0,0.4542469447604014,0.5457530552395986
187,Hello Mr. Billionaire,366961907,0,366961907,2018.csv,2018.0,0.0,1.0
188,The Nun,366050119,117450119,248600000,2018.csv,2018.0,0.3208580270943717,0.6791419729056283
189,Shazam!,365971656,140371656,225600000,2019.csv,2019.0,0.3835588185550632,0.6164411814449369
190,Tenet,365304105,58504105,306800000,2020.csv,2020.0,0.16015178641367855,0.8398482135863214
191,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014.0,0.313175025973994,0.6868249740260061
192,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018.0,0.0019524106629862981,0.9980475893370137
193,Noah,359200044,101200044,258000000,2014.csv,2014.0,0.28173728174710355,0.7182627182528964
194,Your Name.,357986087,5017246,352968841,2016.csv,2016.0,0.014015198305737508,0.9859848016942625
195,The Legend of Tarzan,357243061,126643061,230600000,2016.csv,2016.0,0.35450110814048813,0.6454988918595118
196,Dumbo,353284621,114766307,238518314,2019.csv,2019.0,0.32485508900768145,0.6751449109923185
197,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017.0,0.29146687289106543,0.7085331271089346
198,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016.0,0.3051348653964007,0.6948651346035993
199,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018.0,0.3281082767165515,0.6718917232834485
200,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018.0,0.4919599211865952,0.5080400788134047
201,The Maze Runner,348319861,102427862,245891999,2014.csv,2014.0,0.2940626517992323,0.7059373482007677
202,Trolls,347013487,153856089,193157398,2016.csv,2016.0,0.443372072740216,0.556627927259784
203,xXx: Return of Xander Cage,346118277,44898413,301219864,2017.csv,2017.0,0.12971985585147242,0.8702801441485276
204,Star Trek Beyond,343471816,158848340,184623476,2016.csv,2016.0,0.462478528369268,0.537521471630732
205,A Quiet Place,340939361,188024361,152915000,2018.csv,2018.0,0.5514891576276522,0.44851084237234784
206,300: Rise of an Empire,337580051,106580051,231000000,2014.csv,2014.0,0.31571785916935,0.68428214083065
207,The Hunger Games: The Ballad of Songbirds & Snakes,337134868,166350594,170784274,2023.csv,2023.0,0.49342447130090383,0.5065755286990962
208,The Great Wall,334933831,45540830,289393001,2016.csv,2016.0,0.13596963276008986,0.8640303672399101
209,Now You See Me 2,334897606,65075540,269822066,2016.csv,2016.0,0.19431473630778956,0.8056852636922105
210,Never Say Die,334530869,0,334530869,2017.csv,2017.0,0.0,1.0
